,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,plaeng yao,13.58,101.28,90.0,78,64,7.76,TH,1590628674
1,esperance,-33.87,121.9,53.6,81,40,16.11,AU,1590628675
2,iralaya,15.0,-83.23,82.74,80,100,12.5,HN,1590628675
3,ushuaia,-54.8,-68.3,39.2,64,40,3.36,AR,1590628599
4,cabo san lucas,22.89,-109.91,84.0,60,5,12.75,MX,1590628510
5,busselton,-33.65,115.33,62.01,75,57,14.94,AU,1590628676
6,riberalta,-10.98,-66.1,68.72,72,74,2.73,BO,1590628676
7,dikson,73.51,80.55,33.04,96,100,8.99,RU,1590628676
8,svetlogorsk,52.63,29.73,47.77,90,50,2.15,BY,1590628676
9,klaksvik,62.23,-6.59,46.4,100,0,11.41,FO,1590628676
10,rikitea,-23.12,-134.97,76.53,81,100,11.95,PF,1590628677
11,torbay,47.67,-52.73,37.99,69,75,3.36,CA,1590628677
12,fortuna,40.6,-124.16,60.01,93,90,12.75,US,1590628677
13,lata,40.16,-8.33,73.99,83,0,5.39,PT,1590628677
14,nouadhibou,20.93,-17.03,73.4,60,0,17.22,MR,1590628678
15,tuatapere,-46.13,167.68,53.1,61,0,0.76,NZ,1590628678
16,cape town,-33.93,18.42,57.0,66,75,16.11,ZA,1590628678
17,riohacha,11.54,-72.91,84.2,83,75,6.93,CO,1590628463
18,pindiga,9.98,10.93,80.4,65,100,6.58,NG,1590628679
19,trincomalee,8.57,81.23,82.02,79,7,15.9,LK,1590628679
20,bluff,-46.6,168.33,47.64,71,5,2.82,NZ,1590628679
21,nelson bay,-32.72,152.15,66.0,82,20,11.41,AU,1590628679
22,kapaa,22.08,-159.32,82.99,78,90,11.41,US,1590628680
23,larkollen,59.33,10.67,50.0,53,87,8.05,NO,1590628680
24,kungurtug,50.6,97.52,35.33,86,100,5.59,RU,1590628680
25,pacific grove,36.62,-121.92,78.01,56,1,3.36,US,1590628612
26,codrington,-38.27,141.97,58.01,75,1,9.04,AU,1590628680
27,karratha,-20.74,116.85,70.25,43,86,15.1,AU,1590628681
